동별(1),소재지,2018년전체인구,2018년노인인구,2019년전체인구,2019년노인인구,2020년전체인구,2020년노인인구,2018년노인인구비율,2019년노인인구비율,2020년노인인구비율,노인인구비율,2018~2020 노인인구합계
합계,강남구,547453,66957,550209,70896,544055,74959,0.1223063897722726,0.1288528540972612,0.1377783496153881,0.129645864494974,212812
합계,강동구,431920,58669,440390,63341,463998,69903,0.1358330246341915,0.1438293330911237,0.1506536666106319,0.1434386747786491,191913
합계,강북구,322915,58103,317695,60474,311569,63313,0.1799327996531595,0.1903523820016053,0.2032069942773511,0.1911640586440386,181890
합계,강서구,603611,79445,598273,83839,585901,88733,0.131616223031058,0.1401350219715748,0.1514470874772359,0.1410661108266229,252017
합계,관악구,520040,71888,517334,74787,509803,78430,0.1382355203445888,0.1445623137083586,0.1538437396406062,0.1455471912311846,225105
합계,광진구,371063,45432,366972,47681,360109,50311,0.1224374297626009,0.129930893910162,0.1397104765501556,0.1306929334076395,143424
합계,구로구,438486,61105,439371,64932,432488,69201,0.1393545061871987,0.1477839912056098,0.1600067516324152,0.1490484163417412,195238
합계,금천구,254021,35354,251820,37196,247835,39314,0.1391774695792867,0.1477086808037487,0.158629733492041,0.1485052946250255,111864
합계,노원구,548160,77032,537303,80854,527032,85420,0.1405283129013426,0.1504811996210704,0.1620774450128265,0.1510289858450798,243306
합계,도봉구,341649,55926,335631,58664,327361,62009,0.1636943178525328,0.1747871918863275,0.1894208534309218,0.1759674543899274,176599
합계,동대문구,364338,56991,363023,59170,357014,61612,0.1564234309899049,0.1629924274770469,0.1725758653722263,0.163997241279726,177773
합계,동작구,409385,59265,408912,61994,401572,64928,0.1447659293818776,0.1516071917674218,0.1616845796021635,0.1526859002504876,186187
합계,마포구,386359,50544,385925,52104,381858,54002,0.1308213345618971,0.1350106886052989,0.1414190615359636,0.1357503615677198,156650
합계,서대문구,323080,50045,323171,51645,322952,53756,0.1548997152408072,0.1598070371413276,0.1664519804800713,0.160386244287402,155446
합계,서초구,438163,54663,435107,57036,429025,60072,0.1247549427952611,0.1310849974833776,0.1400198123652467,0.1319532508812951,171771
합계,성동구,316463,42629,308979,43796,300505,45435,0.134704531019424,0.1417442609368274,0.1511954875958802,0.1425480931840439,131860
합계,성북구,447687,67646,454744,70699,447056,73613,0.1511011041196193,0.1554698907517196,0.1646616978633549,0.1570775642448979,211958
합계,송파구,673507,81211,682741,87182,673926,93309,0.1205792961320372,0.127694103620553,0.1384558542035772,0.1289097513187225,261702
합계,양천구,468145,57941,462285,61147,457781,65541,0.1237672088775913,0.1322712179715976,0.1431710796210415,0.1330698354900768,184629
합계,영등포구,403600,54906,400986,56957,407367,60663,0.1360406342913776,0.1420423655688727,0.1489148605557151,0.1423326201386551,172526
합계,용산구,245090,37212,245185,38346,244645,39779,0.1518299400220327,0.1563961906315639,0.1625988677471438,0.1569416661335801,115337
합계,은평구,487666,77263,484546,80567,484043,85010,0.1584342562327494,0.1662731711746665,0.1756248928297692,0.1667774400790617,242840
합계,종로구,163026,26572,161869,27318,158996,28311,0.1629924061192693,0.1687661009828935,0.178061083297693,0.1699398634666186,82201
합계,중구,135633,21750,136488,22974,134635,24174,0.1603592046183451,0.168322489889221,0.1795521224050209,0.1694112723041957,68898
합계,중랑구,408147,61748,402024,65065,399562,69341,0.1512886288518597,0.1618435715280679,0.1735425290693309,0.1622249098164195,196154
